point_id,x,y,cluster_label,is_outlier,micro_distance,macro_distance,source_file,algorithm
0,3.927319144447521,4.427985001866051,2,0,0.06738274360196937,0.4971890454992281,C:\Programming\Εργασία Αποθήκες-Εξόρυξη Δεδομένων\LLM\DaMi\data\synthetic_datasets\synth_diagonal\data.txt,Density-Based Two-Stage
1,10.054419074343278,9.404202897047664,1,0,0.02377120021616688,0.8810702534043446,C:\Programming\Εργασία Αποθήκες-Εξόρυξη Δεδομένων\LLM\DaMi\data\synthetic_datasets\synth_diagonal\data.txt,Density-Based Two-Stage
2,6.454073920499393,6.742091380359293,1,0,0.06948981931928178,0.5951409549067808,C:\Programming\Εργασία Αποθήκες-Εξόρυξη Δεδομένων\LLM\DaMi\data\synthetic_datasets\synth_diagonal\data.txt,Density-Based Two-Stage
3,5.062265212811373,5.76161475281327,2,0,0.0687758787575989,0.8916430051224089,C:\Programming\Εργασία Αποθήκες-Εξόρυξη Δεδομένων\LLM\DaMi\data\synthetic_datasets\synth_diagonal\data.txt,Density-Based Two-Stage
4,1.9255455003561932,1.8492384224173024,2,0,0.05243966113751769,0.40157841375332465,C:\Programming\Εργασία Αποθήκες-Εξόρυξη Δεδομένων\LLM\DaMi\data\synthetic_datasets\synth_diagonal\data.txt,Density-Based Two-Stage
5,1.7678344746252568,1.1653380163992442,2,0,0.07956659830054165,0.5329146103690572,C:\Programming\Εργασία Αποθήκες-Εξόρυξη Δεδομένων\LLM\DaMi\data\synthetic_datasets\synth_diagonal\data.txt,Density-Based Two-Stage
6,0.7561811169241082,0.0052818447854926,2,0,0.10419517455650522,0.8543667041132693,C:\Programming\Εργασία Αποθήκες-Εξόρυξη Δεδομένων\LLM\DaMi\data\synthetic_datasets\synth_diagonal\data.txt,Density-Based Two-Stage
7,8.904275204397235,8.83234250579369,1,0,0.08999852940791758,0.5610280497446694,C:\Programming\Εργασία Αποθήκες-Εξόρυξη Δεδομένων\LLM\DaMi\data\synthetic_datasets\synth_diagonal\data.txt,Density-Based Two-Stage
8,5.535132812327144,6.182626717208194,1,0,0.06561665371451965,0.8176401899642717,C:\Programming\Εργασία Αποθήκες-Εξόρυξη Δεδομένων\LLM\DaMi\data\synthetic_datasets\synth_diagonal\data.txt,Density-Based Two-Stage
9,7.243303365973157,6.725865555200664,1,0,0.11312678466873773,0.5612112028239727,C:\Programming\Εργασία Αποθήκες-Εξόρυξη Δεδομένων\LLM\DaMi\data\synthetic_datasets\synth_diagonal\data.txt,Density-Based Two-Stage
10,0.4109956742671013,-0.1238818709748014,2,0,0.027551974135428335,0.9334954957468217,C:\Programming\Εργασία Αποθήκες-Εξόρυξη Δεδομένων\LLM\DaMi\data\synthetic_datasets\synth_diagonal\data.txt,Density-Based Two-Stage
11,9.199052529001486,9.861533477770289,1,0,0.07160983885366687,0.6195336282198615,C:\Programming\Εργασία Αποθήκες-Εξόρυξη Δεδομένων\LLM\DaMi\data\synthetic_datasets\synth_diagonal\data.txt,Density-Based Two-Stage
12,9.630468565805549,7.310767368956091,1,0,0.12233739470739853,0.8771115618572832,C:\Programming\Εργασία Αποθήκες-Εξόρυξη Δεδομένων\LLM\DaMi\data\synthetic_datasets\synth_diagonal\data.txt,Density-Based Two-Stage
13,2.455074151421013,1.138166464719173,2,0,0.0514981877382604,0.5153237508746834,C:\Programming\Εργασία Αποθήκες-Εξόρυξη Δεδομένων\LLM\DaMi\data\synthetic_datasets\synth_diagonal\data.txt,Density-Based Two-Stage
14,0.9843372240291522,1.315338717194301,2,0,0.1159425423628503,0.6235710777923875,C:\Programming\Εργασία Αποθήκες-Εξόρυξη Δεδομένων\LLM\DaMi\data\synthetic_datasets\synth_diagonal\data.txt,Density-Based Two-Stage
15,2.2936326245780188,1.6846320923360452,2,0,0.05871942916069401,0.41503838745487565,C:\Programming\Εργασία Αποθήκες-Εξόρυξη Δεδομένων\LLM\DaMi\data\synthetic_datasets\synth_diagonal\data.txt,Density-Based Two-Stage
16,2.3601452604362523,3.26005772551398,2,0,0.12200415026252548,0.13341984608595178,C:\Programming\Εργασία Αποθήκες-Εξόρυξη Δεδομένων\LLM\DaMi\data\synthetic_datasets\synth_diagonal\data.txt,Density-Based Two-Stage
17,5.798523538942095,6.280313668187065,1,0,0.03988079581981336,0.7582601404110847,C:\Programming\Εργασία Αποθήκες-Εξόρυξη Δεδομένων\LLM\DaMi\data\synthetic_datasets\synth_diagonal\data.txt,Density-Based Two-Stage
18,5.13046709172634,4.919811922662571,2,0,0.11287616956697794,0.8698963483397126,C:\Programming\Εργασία Αποθήκες-Εξόρυξη Δεδομένων\LLM\DaMi\data\synthetic_datasets\synth_diagonal\data.txt,Density-Based Two-Stage
19,2.337813779134222,2.8003344310060205,2,0,0.061528306939626735,0.21500777111310845,C:\Programming\Εργασία Αποθήκες-Εξόρυξη Δεδομένων\LLM\DaMi\data\synthetic_datasets\synth_diagonal\data.txt,Density-Based Two-Stage
20,6.79289223769482,6.105217601691913,1,0,0.022667018930091695,0.6801987443486514,C:\Programming\Εργασία Αποθήκες-Εξόρυξη Δεδομένων\LLM\DaMi\data\synthetic_datasets\synth_diagonal\data.txt,Density-Based Two-Stage
21,1.6838852553759671,0.6931680512739522,2,0,0.07340223029281596,0.6213934461959134,C:\Programming\Εργασία Αποθήκες-Εξόρυξη Δεδομένων\LLM\DaMi\data\synthetic_datasets\synth_diagonal\data.txt,Density-Based Two-Stage
