0.23,652.0
1.554,427.0
0.532,149.0
5.384,233.0
1.568,415.0
5.177,810.0
5.156,277.0
0.965,532.0
5.349,235.0
5.298,242.0
5.336,229.0
5.385,236.0
1.516,425.0
0.975,537.0
0.907,534.0
0.303,875.0
1.605,417.0
2.014,716.0
4.277,959.0
5.192,803.0
1.902,662.0
1.553,946.0
5.084,278.0
5.325,221.0
5.158,191.0
5.155,835.0
0.934,532.0
3.088,609.0
3.394,335.0
5.195,694.0
5.076,854.0
1.581,419.0
5.064,868.0
0.966,542.0
5.148,189.0
5.176,705.0
0.652,937.0
5.033,632.0
0.345,875.0
5.029,632.0
5.152,837.0
5.249,706.0
0.927,535.0
4.299,959.0
4.757,335.0
1.844,872.0
2.018,718.0
0.554,594.0
4.819,939.0
5.103,278.0
3.958,972.0
2.02,720.0
1.579,417.0
0.251,644.0
2.74,843.0
5.283,254.0
1.755,594.0
3.438,561.0
3.426,562.0
1.748,586.0
4.797,939.0
4.749,334.0
1.025,535.0
5.179,698.0
5.271,799.0
3.983,971.0
5.225,267.0
3.451,561.0
0.946,531.0
1.109,970.0
5.16,836.0
4.714,939.0
0.653,936.0
0.201,797.0
1.505,948.0
5.317,233.0
3.41,944.0
0.236,229.0
0.219,230.0
2.763,830.0
0.544,592.0
5.293,252.0
1.524,422.0
4.786,335.0
5.188,817.0
5.174,829.0
0.91,530.0
1.757,595.0
5.108,851.0
5.337,242.0
0.544,590.0
0.492,150.0
5.195,698.0
0.297,874.0
0.635,933.0
0.344,882.0
5.183,196.0
3.077,156.0
0.241,648.0
0.514,150.0
3.995,970.0
3.103,160.0
5.072,178.0
5.165,821.0
2.028,722.0
4.831,939.0
5.079,178.0
3.063,899.0
5.309,223.0
5.198,701.0
5.181,704.0
1.542,422.0
5.076,853.0
0.965,540.0
5.199,810.0
5.284,215.0
3.401,941.0
0.209,652.0
3.451,939.0
0.225,650.0
5.063,857.0
5.08,279.0
1.606,426.0
5.319,240.0
5.35,241.0
1.519,423.0
5.093,281.0
5.09,181.0
0.332,873.0
1.723,573.0
0.872,532.0
1.529,943.0
2.754,670.0
5.368,234.0
1.542,946.0
3.758,356.0
2.762,677.0
0.988,535.0
3.82,357.0
5.166,708.0
5.175,833.0
5.308,245.0
1.604,413.0
5.305,223.0
1.896,662.0
5.362,239.0
5.194,710.0
2.77,676.0
5.223,699.0
2.038,448.0
0.865,533.0
1.775,599.0
5.209,803.0
1.529,944.0
5.135,191.0
5.267,210.0
5.071,854.0
3.081,610.0
5.321,227.0
4.305,553.0
0.653,937.0
5.209,817.0
1.116,968.0
5.251,802.0
4.675,134.0
2.749,675.0
5.323,228.0
2.754,828.0
5.326,232.0
3.794,355.0
5.269,257.0
5.185,701.0
3.454,564.0
5.085,284.0
5.184,699.0
4.762,938.0
0.295,873.0
5.146,189.0
2.743,654.0
4.709,943.0
5.334,230.0
5.112,848.0
1.765,595.0
1.596,418.0
4.286,960.0
3.826,354.0
0.297,873.0
1.544,424.0
5.235,802.0
5.24,713.0
1.74,587.0
5.274,795.0
5.129,843.0
5.237,704.0
5.139,278.0
1.0,400.0
4.0,500.0
2.4,550.0
2.42,555.0
2.41,530.0
0.649,933.0
0.249,647.0
3.969,968.0
4.744,937.0
3.104,159.0
0.249,648.0
3.941,537.0
0.208,222.0
1.004,536.0
4.722,335.0
1.994,804.0
0.468,314.0
0.238,652.0
1.521,944.0
2.745,674.0
4.781,940.0
4.783,940.0
0.211,655.0
4.274,960.0
4.794,335.0
3.819,350.0
1.741,586.0
1.106,968.0
1.749,597.0
1.601,418.0
2.765,671.0
0.968,540.0
1.519,944.0
3.423,947.0
3.099,159.0
0.305,874.0
1.126,969.0
1.525,945.0
0.501,150.0
3.123,152.0
4.719,336.0
4.764,939.0
2.741,678.0
4.671,565.0
0.214,652.0
3.976,971.0
2.741,752.0
4.783,336.0
1.136,966.0
1.733,328.0
3.098,154.0
0.856,533.0
1.534,943.0
4.722,338.0
2.001,800.0
0.538,593.0
0.998,536.0
0.261,649.0
0.535,593.0
2.748,656.0
4.674,135.0
3.739,358.0
3.76,356.0
1.54,420.0
3.044,897.0
1.752,595.0
0.473,315.0
3.856,409.0
2.759,832.0
3.462,127.0
1.741,588.0
1.142,968.0
3.902,537.0
3.459,558.0
2.744,678.0
2.745,670.0
2.756,667.0
0.554,588.0
3.076,898.0
3.426,948.0
4.776,337.0
2.743,665.0
3.99,971.0
0.359,876.0
2.747,657.0
1.609,418.0
3.986,971.0
1.538,423.0
3.449,128.0
4.752,334.0
0.468,315.0
1.54,424.0
2.752,831.0
0.953,539.0
1.987,803.0
3.403,941.0
3.092,159.0
4.737,333.0
3.841,411.0
0.506,149.0
1.565,946.0
0.361,884.0
1.141,966.0
3.766,355.0
1.6,425.0
3.107,161.0
1.558,417.0
3.896,535.0
2.012,718.0
3.884,535.0
1.545,419.0
1.585,419.0
0.557,588.0
4.724,338.0
2.74,655.0
1.749,589.0
1.861,172.0
3.436,941.0
3.961,972.0
1.989,804.0
2.5,900.0
